PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS
1629622,Max Strus,25.45,3.3,7.46,0.43,2.26,5.86,0.36,0.56,0.68,0.24,1.06,3.28,4.34,3.16,1.08,0.52,0.24,0.22,2.08,1.14,9.42
1629626,Bol Bol,12.46,2.67,5.08,0.5,0.89,2.58,0.22,0.56,0.72,0.22,0.56,2.33,2.89,0.61,0.56,0.25,0.69,0.0,0.56,0.5,6.78
1629627,Zion Williamson,28.58,9.6,16.93,0.56,0.1,0.43,0.07,5.27,8.03,0.61,2.53,4.67,7.2,5.3,3.0,1.23,0.9,2.03,2.73,5.67,24.57
1629628,RJ Barrett,32.22,7.93,16.93,0.47,1.84,5.28,0.36,3.38,5.36,0.54,1.05,5.26,6.31,5.41,2.84,0.79,0.29,1.4,2.36,4.02,21.09
1629629,Cam Reddish,17.86,1.15,2.85,0.35,0.39,1.42,0.22,0.48,0.79,0.2,0.52,1.48,2.0,0.67,0.36,1.0,0.3,0.15,1.3,0.7,3.18
1629630,Ja Morant,30.38,8.08,17.78,0.46,1.76,5.7,0.3,5.26,6.38,0.8,0.68,3.42,4.1,7.28,3.7,1.22,0.24,1.02,2.26,4.98,23.18
1629631,De'Andre Hunter,27.19,5.59,11.91,0.47,2.45,6.06,0.4,3.36,3.97,0.72,0.69,3.34,4.03,1.44,1.28,0.78,0.2,0.61,2.42,3.3,17.0
1629632,Coby White,33.11,6.86,15.15,0.45,2.92,7.89,0.36,3.74,4.15,0.81,0.34,3.35,3.69,4.46,2.39,0.93,0.22,1.04,2.08,3.61,20.39
1629634,Brandon Clarke,18.86,3.69,5.94,0.59,0.02,0.27,0.0,0.95,1.36,0.34,1.98,3.11,5.09,1.03,0.64,0.81,0.56,0.34,2.27,1.23,8.34
1629636,Darius Garland,30.68,7.39,15.65,0.48,2.83,7.05,0.4,2.99,3.4,0.73,0.63,2.23,2.85,6.75,2.52,1.21,0.15,0.57,1.91,3.03,20.59
1629637,Jaxson Hayes,19.51,2.88,3.98,0.7,0.0,0.05,0.0,1.09,1.75,0.42,1.39,3.41,4.8,1.04,0.77,0.55,0.91,0.2,2.43,2.0,6.84
1629638,Nickeil Alexander-Walker,25.28,3.29,7.51,0.44,1.72,4.51,0.39,1.12,1.44,0.45,0.66,2.57,3.23,2.72,1.21,0.61,0.41,0.29,1.7,1.7,9.43
1629639,Tyler Herro,35.39,8.45,17.9,0.48,3.26,8.7,0.37,3.73,4.25,0.8,0.45,4.73,5.18,5.51,2.57,0.9,0.22,0.97,1.1,2.95,23.9
1629640,Keldon Johnson,23.87,4.82,10.0,0.47,1.13,3.56,0.29,1.95,2.52,0.58,1.45,3.36,4.82,1.62,1.0,0.64,0.29,0.48,1.49,1.82,12.71
1629643,Chuma Okeke,21.85,2.22,4.44,0.46,1.22,3.11,0.29,0.22,0.33,0.07,2.33,2.89,5.22,1.67,0.33,0.56,0.44,0.11,0.56,0.78,5.89
1629645,Kevin Porter Jr.,19.76,3.91,8.69,0.44,0.73,2.36,0.24,1.73,2.25,0.46,0.56,3.15,3.71,3.41,1.81,1.08,0.17,0.64,1.59,1.93,10.28
1629646,Charles Bassey,10.43,1.89,3.25,0.47,0.0,0.0,0.0,0.58,0.92,0.23,1.56,2.67,4.22,0.47,0.64,0.39,0.83,0.19,1.39,0.72,4.36
1629650,Moses Brown,9.12,2.62,3.77,0.41,0.0,0.0,0.0,0.62,0.85,0.25,0.92,2.46,3.38,0.15,0.85,0.46,0.31,0.23,1.31,0.62,5.85
1629651,Nic Claxton,26.88,4.57,8.11,0.57,0.07,0.3,0.06,1.13,2.2,0.32,2.24,5.11,7.36,2.24,1.24,0.89,1.43,0.43,2.14,2.56,10.34
1629652,Luguentz Dort,29.2,3.63,8.35,0.42,2.39,5.82,0.38,0.46,0.65,0.21,1.25,2.87,4.13,1.62,0.72,1.11,0.55,0.32,2.93,1.52,10.13
1629655,Daniel Gafford,21.51,4.96,7.07,0.69,0.0,0.0,0.0,2.37,3.44,0.61,2.72,4.09,6.81,1.4,1.16,0.4,1.79,0.53,2.67,2.72,12.3
1629656,Quentin Grimes,26.84,5.12,10.97,0.43,2.16,5.61,0.33,2.16,2.85,0.53,0.79,3.53,4.32,3.04,1.88,0.99,0.29,0.43,1.84,2.32,14.56
1629659,Talen Horton-Tucker,12.48,2.29,5.02,0.32,0.71,2.1,0.21,1.24,1.69,0.34,0.33,1.4,1.72,1.43,0.69,0.36,0.19,0.29,1.02,1.16,6.53
1629660,Ty Jerome,19.89,4.56,8.83,0.51,1.59,3.61,0.38,1.84,2.11,0.62,0.71,1.76,2.47,3.39,1.31,1.11,0.04,0.39,1.46,1.77,12.54
1629661,Cameron Johnson,31.57,6.23,13.11,0.48,2.79,7.16,0.4,3.53,3.95,0.77,0.95,3.39,4.33,3.4,1.74,0.93,0.44,0.63,1.82,2.98,18.77
1629667,Jalen McDaniels,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1629669,Jaylen Nowell,21.01,3.25,9.12,0.32,1.0,3.38,0.32,0.88,1.38,0.5,0.75,1.75,2.5,2.25,1.0,0.12,0.5,0.38,1.12,1.12,8.38
