TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612740,New Orleans Pelicans,82,21,61,0.256,3951.0,3332,7368,0.452,12.02,2839,0.347,16.54,1799,0.754,12.11,31.5,3576,25.84,14.65,8.55,5.23,428,18.28,17.94,109.83,-773.0,1,27,27,27,18,22,13,24,27,25,24,22,14,27,7,26,20,19,19,8,10,21,13,25,25,29
1610612752,New York Knicks,82,51,31,0.622,3976.0,3553,7315,0.486,12.57,2794,0.369,16.55,1696,0.8,10.85,31.79,3497,27.49,13.27,8.18,3.95,406,17.16,18.95,115.78,336.0,1,5,5,5,2,7,18,5,24,27,8,21,23,5,19,25,24,11,5,13,29,16,4,10,9,8
1610612760,Oklahoma City Thunder,82,68,14,0.829,3941.0,3660,7600,0.482,14.54,3184,0.374,16.7,1672,0.819,10.62,34.16,3672,26.85,11.72,10.33,5.67,392,19.89,18.11,120.5,1055.0,1,1,1,1,29,3,3,7,6,10,6,19,26,1,20,6,11,12,1,1,2,14,25,23,4,1
1610612753,Orlando Magic,82,41,41,0.5,3946.0,3130,7034,0.445,11.23,2892,0.318,17.85,1890,0.775,11.15,30.7,3431,23.01,14.21,8.89,5.95,361,20.1,20.32,105.43,-10.0,1,15,15,15,23,29,29,27,30,23,30,5,7,19,14,28,27,30,16,6,1,8,26,1,28,17
1610612755,Philadelphia 76ers,82,24,58,0.293,3961.0,3254,7168,0.454,12.7,3050,0.341,17.55,1844,0.78,10.39,29.4,3263,23.18,13.62,9.17,4.46,420,18.98,18.66,109.61,-511.0,1,26,26,26,9,26,23,23,21,17,27,7,9,15,22,30,30,29,9,5,23,19,19,17,26,25
1610612756,Phoenix Suns,82,36,46,0.439,3966.0,3381,7075,0.478,14.34,3112,0.378,16.82,1702,0.81,9.55,32.94,3484,27.77,14.06,7.23,4.78,329,17.94,18.4,113.62,-246.0,1,21,21,21,6,18,26,11,7,12,3,18,22,2,28,18,25,10,15,28,16,3,10,20,18,23
1610612757,Portland Trail Blazers,82,36,46,0.439,3956.0,3325,7396,0.45,12.89,3095,0.342,16.9,1820,0.762,13.35,31.41,3671,23.8,15.96,8.27,5.28,453,19.0,19.28,110.89,-244.0,1,21,21,21,14,23,9,26,19,14,26,16,12,26,2,27,12,27,29,11,8,26,21,3,22,22
1610612758,Sacramento Kings,82,40,42,0.488,3976.0,3529,7385,0.478,12.59,2887,0.357,17.07,1738,0.806,10.99,33.21,3624,26.45,13.32,7.56,4.35,350,18.88,18.48,115.73,39.0,1,16,16,16,2,9,10,12,23,24,19,13,19,4,16,14,16,13,6,25,25,5,17,19,10,16
1610612759,San Antonio Spurs,82,34,48,0.415,3946.0,3426,7362,0.465,14.12,3246,0.357,16.24,1721,0.774,10.93,32.74,3581,28.63,13.88,8.22,5.55,356,16.62,17.41,113.93,-226.0,1,23,23,23,23,14,15,17,9,7,20,24,21,21,17,21,19,6,10,12,4,7,3,28,16,21
1610612761,Toronto Raptors,82,30,52,0.366,3961.0,3414,7462,0.458,11.82,2786,0.348,15.78,1729,0.748,12.61,32.51,3700,28.54,15.33,8.1,4.24,484,21.2,18.1,110.87,-352.0,1,24,24,24,9,15,6,20,29,28,23,28,20,29,4,24,10,7,24,16,28,29,30,24,23,24
1610612762,Utah Jazz,82,17,65,0.207,3961.0,3305,7272,0.454,13.95,3267,0.35,17.33,1836,0.774,11.99,33.43,3724,25.52,17.22,6.77,4.39,527,18.89,19.27,111.89,-766.0,1,30,30,30,9,25,20,22,10,6,22,8,10,22,8,11,5,20,30,30,24,30,18,4,21,28
1610612764,Washington Wizards,82,18,64,0.22,3946.0,3233,7371,0.439,13.11,3210,0.335,16.04,1690,0.778,10.57,33.12,3583,25.1,15.56,7.6,5.12,428,19.73,18.17,108.0,-1020.0,1,29,29,29,23,27,12,28,17,9,29,25,25,16,21,15,18,25,27,23,11,21,24,21,27,30
